meal name,ingredients,method
"

          Summer pistou        
","[u'1 tbsp ', u'2 ', u', finely sliced', u'1 large ', u', finely diced', u'1l boiling vegetable stock (made from scratch or with reduced-salt bouillon)', u'400g can cannellini or haricot beans, drained', u'200g green beans, chopped', u'3 ', u', chopped', u'3 garlic cloves, finely chopped', u'small pack ', u'40g freshly grated ']","[u'Heat the oil in a large pan and fry the leeks and courgette for 5 mins to soften. Pour in the stock, add three-quarters of the haricot beans with the green beans, half the tomatoes, and simmer for 5-8 mins until the vegetables are tender.', u'Meanwhile, blitz the remaining beans and tomatoes, the garlic and basil in a food processor (or in a bowl with a stick blender) until smooth, then stir in the Parmesan. Stir the sauce into the soup, cook for 1 min, then ladle half into bowls or pour into a flask for a packed lunch. Chill the remainder. Will keep for a couple of days.']"
"

          Mexican veggie hash        
","[u'280g new or waxy ', u', cut into cubes', u'2 tbsp ', u'2 tbsp ', u'1 red chilli, half sliced, half deseeded and finely chopped', u'1 garlic clove, chopped', u'1 tsp Cajun seasoning', u'198g can ', u', drained and rinsed', u'200g black bean (from a can), drained and rinsed well', u'2 ', u'1 ripe ', u', chopped', u' wedges, soured cream and warm tortillas, to serve (optional)']","[u'Cook the potatoes in boiling salted water for 5 mins, then drain and let steam-dry. Heat half the butter and oil in the pan and fry the potatoes for about 10-15 mins until golden. Add the chopped chilli, garlic, Cajun seasoning, sweetcorn and black beans, and heat through for about 5 mins, then season.', u'Keep warm in a low oven while you fry the eggs in the rest of the butter and oil until cooked to your liking. Divide the potatoes between 2 bowls and top with an egg, some chopped avocado and the sliced chilli. Serve with lime wedges, soured cream and warm tortillas, if you like.']"
"

          Rhubarb & strawberry meringue pots        
","[u'450g ', u', cut into 4cm/1\xbdin chunks', u'100g golden caster sugar', u'grated zest of 1 ', u'1 tbsp strawberry conserve', u'2 ', u', separated']","[u'Preheat the oven to 180C/ Gas 4/fan oven 160C. Put the rhubarb in an ovenproof dish, sprinkle over 50g/2oz of the sugar and the orange zest and stir together. Cover and bake in the oven for 35-40 minutes until tender. (Alternatively, you can cook the rhubarb with the sugar and zest in the microwave for 10 minutes on full power, stirring halfway through the cooking time, until just tender.)', u'Remove the rhubarb from the oven and allow to cool slightly. Stir in the conserve then the egg yolks. Divide the rhubarb mixture between four 175ml/6fl oz ramekins. Put on a baking sheet and cook in the oven for 10 minutes until lightly thickened.', u'While the rhubarb is cooking, whisk the egg whites until stiff. Sprinkle over half of the remaining sugar and whisk again. Gently fold in the rest of the sugar. Pile the meringue on top of the rhubarb to cover it completely and swirl the top. Return to the oven for 10 minutes until the meringue is puffy and golden. Serve immediately.']"
"

          Piernik (Polish gingerbread)        
","[u'140g unsalted butter, plus extra for greasing', u'300g clear honey', u'100g light brown sugar', u'375g self-raising flour', u'3 tsp ground ginger', u'1 tsp ground cinnamon', u'\xbd  tsp ground cloves', u'\xbc tsp ground nutmeg', u'\xbc tsp ground ', u'3 large egg', u'200g plum jam', u'225ml double cream', u'140g dark chocolate (70% cocoa solids), finely chopped', u'3 tbsp clear honey', u'edible gold powder (optional)']","[u'Heat oven to 160C/140C fan/gas 3. Grease and line the base and sides of a deep 20cm cake tin with baking parchment. Put the honey, sugar and butter in a medium saucepan and cook over a medium heat until fully melted. Remove from the heat and allow to cool. Put the flour and spices in a large bowl and mix everything together.', u'Once the liquid ingredients have cooled, whisk in the eggs. Pour over the dry ingredients, whisking them together to form a smooth batter \u2013 be careful not to overmix as this can lead to a dry cake. Pour into the prepared tin and bake for 50-55 mins or until risen and a skewer inserted into the middle of the cake comes out clean. Allow the cake to cool in the pan for 20 mins before turning out onto a wire rack to cool completely.', u'Once cooled, use a large serrated knife to slice the cake into 3 layers. Spread the jam across the 2 bottom cake layers, then reassemble the cake and set aside while you make the glaze. Put the cream, chocolate and honey in a medium pan and cook over a low-medium heat until the chocolate is melted and you have a smooth, pourable mixture. Put the cake on a wire rack set over a parchment-lined baking tray and pour over the glaze, making sure to cover the entire cake. Use a fish slice to carefully transfer the cake to a serving plate and allow the glaze to set. To decorate, dust with a little edible gold powder, if you like. Uniced, this cake will keep for up to 5 days. Once iced, enjoy within 3 days \u2013 just keep in the fridge, but remove before serving and eat at room temperature.']"
"

          Warm new potatoes with cured ham & chives        
","[u'400g small even-sized ', u'12 slices Iberico ham (such as Paleta Iberico from the shoulder)', u'handful ', u' leaves', u'1 tsp Dijon mustard', u'1 tbsp white wine vinegar', u'3 tbsp ', u'2 tbsp mayonnaise', u'2 tbsp snipped chives']","[u'Boil or steam potatoes whole for 15 mins or until just tender. Meanwhile, mix the ingredients for the dressing with seasoning and \xbd tbsp water.', u'Lay the slices of ham over dinner plates. Carefully slice the warm potatoes, toss them into the dressing then spoon them on top of the ham. Add a few rocket leaves and grind over pepper.']"
"

          Chorizo & soft-boiled egg salad        
","[u'500g bag baby ', u', halved', u'4 ', u'225g green bean, trimmed', u'225g ', u' ring, sliced', u'1 garlic clove, sliced', u'2 tbsp sherry vinegar', u'2 tbsp chopped ']","[u'Cook the potatoes in a large pan of boiling salted water for 12 mins, adding the eggs after 6 mins, and the beans for the final 2 mins. Drain everything and cool the eggs under cold running water.', u'Meanwhile fry chorizo slices for 1-2 mins, until beginning to crisp. Remove from the pan with a slotted spoon and set aside, leaving the oil from the chorizo in the pan. Add the garlic to the pan and cook gently for 1 min.', u'Remove the pan from the heat, stir in the vinegar and parsley, then toss with the potatoes, beans, chorizo and seasoning. Shell the eggs, cut into quarters and add to the salad.']"
"

          Ray with buttery parsley & capers        
","[u'3 tbsp plain flour', u'450g ray wing, cut into 2', u'50g ', u'2 tbsp ', u'small handful ', u' leaves, chopped', u'1 ', u', \xbd juiced and \xbd cut into wedges']","[u'Tip the flour onto a large plate or dish and season with salt and pepper. Dredge the fish in the flour until completely coated. Place a large frying pan over a high heat and add half the butter. When the butter is sizzling, lay the fish into the pan and cook for 4-5 mins on each side until golden, then transfer the fish to two plates and keep warm.', u'Working quickly, place the pan back on the heat with the remaining butter. When it\u2019s starting to foam and turn light brown, throw in the capers, then the parsley and sizzle for a moment. Squeeze in the lemon half and simmer everything for a moment longer. Season the buttery sauce in the pan with a touch of salt and pepper, then spoon half over each portion of fish. Serve with mashed potatoes and steamed spinach, and lemon wedges for squeezing over.']"
"

          Thai rice noodle salad        
","[u'\xbd a 250g pack fine vermicelli rice noodles', u'200g bag beansprouts', u'zest and juice 2 ', u'2-3 tbsp fish or ', u', to taste', u'1 tsp muscovado sugar or soft brown sugar', u'1 red onion, halved and thinly sliced', u'2 Little Gem lettuce hearts, leaves separated and roughly torn', u'500g minced ', u'small knob grated ', u'pinch cayenne pepper', u'1 tsp ', u'2 tbsp sesame seeds', u'1 tsp oil', u'4 x 175g ', u'1 deseeded and shredded red chilli']","[u'Place the noodles and beansprouts in a heatproof bowl and cover with boiling water. Leave for 4 mins, or until the noodles are tender. Drain, then cool under cold running water and drain again. Return to the bowl.', u'Stir together the lime zest and juice, fish or soy sauce and sugar. Stir into the noodles with the red onion and lettuce.', u'To make with mince, heat a little oil in a non-stick frying pan and stir-fry 500g minced pork, a small knob of grated ginger and pinch cayenne pepper or chilli powder for 10 mins, until the mince is browned and cooked through. Mix into the noodles, divide between four bowls and serve warm.', u'To make with steak, make the rice noodle salad. Heat 1 tsp sunflower oil in a frying pan. Tip 2 tbsp sesame seeds onto a plate. Rub 1 tsp oil into 4 x 175g sirloin steaks and press into sesame seeds. Fry for 5 mins for medium rare, turning halfway. Leave to rest for 5 mins, then thinly slice. Toss 1 deseeded and shredded red chilli, and a handful mint leaves into noodles. Top with steak to serve.']"
"

          Sam's toad in the hole        
","[u'12 chipolata', u'1 tbsp ', u'140g plain flour', u'\xbd tsp salt', u'2 ', u'175ml semi-skimmed milk']","[u'Heat oven to 220C/200C fan/gas 7. Put the sausages in a 20 x 30cm roasting tin with the oil, then bake for 15 mins until browned.', u'Meanwhile, make up the batter mix. Tip the flour into a bowl with the salt, make a well in the middle and crack both eggs into it. Use an electric whisk to mix it together, then slowly add the milk, whisking all the time. Leave to stand until the sausages are nice and brown.', u'Carefully remove the sausages from the oven \u2013 watch because the fat will be sizzling hot \u2013 but if it isn\u2019t, put the tin on the hob for a few mins until it is. Pour in the batter mix, transfer to the top shelf of the oven, then cook for 25-30 mins, until risen and golden. Serve with gravy and Sam\u2019s favourite veg \u2013 broccoli.']"
"

          Polenta & goat's cheese stacks        
","[u'850g squash, peeled', u'5 medium ', u', peeled using rubber gloves', u'12 ', u', soaked in hot water for 5 mins, then peeled and halved', u'3 tbsp extra-virgin olive oil', u'4 garlic clove, bashed flat', u'2 ', u' and rosemary sprigs, plus 2 bay leaves, all scrunched with your hands to release their scent', u'a little ', u', for browning', u'2 tbsp sesame seed, toasted', u'3 x 250g bags ', u'1\xbd l vegetable stock (we made this with 4 tsp bouillon powder)', u'350g quick-cook ', u'50g ', u'85g finely grated vegetarian-style ', u' cheese', u'\xbd tsp nutmeg, freshly grated', u""2 x 100g log of goat's cheese - the kind with rind"", u'6 tbsp Madeira', u'1-2 tsp clear honey, to taste', u'2 tbsp ', u'2 tbsp tamari ', u'a knob of ', u'2 tbsp each olive oil and extra-virgin olive oil, plus extra', u'small handful flat-leaf ', u', roughly chopped']","[u'For the spinach, boil a kettle and put half the spinach into a colander. Pour over the hot water until it wilts, then cool completely under cold water. Tip into a clean tea towel, then wring out every last drop of water you can. Repeat with the other half.', u'For the polenta, bring the stock to the boil in a large pan, then stir in the polenta in a fine, steady stream, so to avoid any lumps. Keep cooking for 5 mins, stirring all the time, until thick. Stir in the butter, Parmesan, half of the spinach, the nutmeg and plenty of seasoning, then leave to cool for a few mins.', u'Meanwhile, slice each cheese into three rounds. Tear off six pieces of cling film, about 30cm across, then, while the polenta is still soft, spoon a sixth onto each square. Nestle the slices of cheese on top, then draw the edges of the cling film around and twist, to make burgershaped polenta cakes with the cheese completely sealed in the middle. Cool and chill for up to 2 days.', u'Cut the squash and beetroot veg into finger-tip-wide chunks. Keeping the beetroot separate, put the squash, shallots, 2 tbsp extra virgin oil and half of the garlic and herbs into a large bowl, then rub well and leave to marinate for 1 hr. Do the same with the beetroot, remaining herbs and garlic and 1 tbsp oil.', u'Heat a small knob of butter in a large non-stick frying pan, then fry the beetroot, herbs and garlic, for 10 mins on a medium heat, stirring often till starting to colour. Tip into one end of a large roasting tin. Wipe out pan, then repeat with the squash and shallots in a little more butter, browning one-third at a time for 5 mins, until tinged golden. Tip into the other end of the tin. Heat oven to 190C/170C fan/gas 5. Transfer the roasting tin to the oven and roast for 40 mins. The veg can be cooled to room temperature at this stage, then covered for up to 24 hrs and crisped up in a hot oven for 15 mins on the day.', u'After 40 mins scatter the sesame seeds over the roasted veg, then tip the veg into a large bowl and keep warm. With the roasting tin over a low heat, splash in the Madeira, bubble it down to 2 tbsp, then stir in the honey, balsamic, soy sauce and a little butter. Simmer until just starting to make a syrupy sauce, then stir in the olive oils. Can be made ahead and re-heated.', u'Fifteen mins before serving, heat a little oil and remaining butter in a large non-stick frying pan. Once sizzling, add the polenta cakes and fry on both sides for 5 mins until golden. Fry in 2 batches and keep warm. Re-heat the remaining spinach in a pan for a few secs, with a grating more nutmeg and a good pinch of seasoning.', u'Sit the polenta cakes on warmed plates, and top with some spinach. Stir parsley into the dressing. Toss the roasted veg with a few tsp, then pile the veg on top of the polenta. Drizzle a little more dressing over and around, then serve.']"
"

          Eerie eyeball pops        
","[u'100g/4oz Madeira cake', u'100g Oreo cookie', u'100g bar milk chocolate, melted', u'200g bar white chocolate, melted', u'few Smarties and icing pens, to decorate', u'10 wooden skewer', u'\xbd small ', u' or butternut squash, deseeded, to stand pops in']","[u'Break the Madeira cake and cookies into the bowl of a food processor, pour in the melted milk chocolate and whizz to combine.', u'Tip the mixture into a bowl, then use your hands to roll into about 10 walnut-sized balls. Chill for 2 hrs until really firm.', u'Push a skewer into each ball, then carefully spoon the white chocolate over the cake balls to completely cover. Stand the cake pops in the pumpkin, then press a Smartie onto the surface while wet. Chill again until the chocolate has set. Before serving, using the icing pens, add a pupil to each Smartie and wiggly red veins to the eyeballs.']"
"

          Spicy Moroccan rice         
","[u'4 skinless chicken breast, diced', u'1 tbsp Moroccan spice seasoning', u'1 ', u', finely sliced', u'50g ', u'300g rice', u'12 dried apricot, halved', u'chicken stock cube', u'410g can chickpeas, drained and rinsed', u'15g pack flatleaf parsley, chopped']","[u'Coat chicken with the Moroccan spice. Fry the onion in butter until soft.', u'Tip in the chicken, then cook for a few mins more. Stir in the rice and apricots, then pour in the stock cube with 700ml boiling water and the chickpeas.', u'Cover the pan and simmer for 10 mins until the rice is tender and has absorbed most of the liquid. Toss in the chopped flat leaf parsley and serve.']"
"

          Roast beef & carrots with easy gravy        
","[u'1 tsp plain flour', u'1 tsp ', u' powder', u'950g ', u' top rump joint (see tip below)', u'1 ', u', cut into 8 wedges', u'500g ', u', halved lengthways', u'1 tbsp plain flour', u'250ml beef stock']","[u'Heat oven to 240C/220C fan/gas 9. Mix the flour and mustard powder with some seasoning, then rub all over the beef. Put the onion and carrots into a roasting tin and sit the beef on top, then cook for 20 mins.', u'Reduce oven to 190C/170C fan/gas 5 and continue to cook the beef for 30 mins if you like it rare, 40 mins for medium and 1 hr for well done.', u'Remove the beef and carrots from the oven, place onto warm plates or platters and cover with foil to keep warm. Let the beef rest for 30 mins while you turn up the oven to cook your Yorkshire puds and finish the potatoes.', u'For the gravy, put the tin with all the meat juices and onions back onto the hob. Stir in the flour, scraping all the stuck bits off the bottom of the tin. Cook for 30 secs, then slowly stir in the stock, little by little. Bubble to a nice gravy, season, then serve with the beef, carved into slices, carrots and all the other trimmings.']"
"

          Cherry & almond cake        
","[u'250g ', u', softened, plus extra for greasing', u'175g golden caster sugar', u'5 ', u', beaten', u'250g self-raising flour, plus an extra 2 tbsp', u'1 tsp ', u'zest 1 ', u', plus 2 tbsp of the juice', u'250g natural ', u', coarsely grated (easiest if chilled beforehand)', u'\xbd tsp ', u' essence, optional', u'200g glac\xe9 cherry, halved', u'100g icing sugar, sifted', u'50g toasted flaked almond', u'12 natural glac\xe9 cherry', u'zest 1 ']","[u'Heat oven to 160C/fan 140C/gas 3 and butter and line a 20cm round, loose-bottomed deep cake tin. Beat the butter and sugar together with electric beaters or a tabletop mixer until light and fluffy. Add the eggs, 250g flour, baking powder, orange zest and juice and beat well till thick, creamy and evenly mixed.', u'Toss cherries in the extra 2 tbsp flour and fold into the batter along with grated marzipan and almond essence (if using). Spoon into the prepared tin, level and bake for 1 hr 30 mins, or until well risen and golden. A skewer will come out clean when ready. Leave to cool in tin for 10 mins, then turn onto a cooling rack to cool completely.', u'Mix the icing sugar with just over 1 tbsp water to make a loose but not-too-runny icing. Scatter the almonds over the top of the cake and position the 12 glace cherries around the edge, using a dot of the icing to fix. Drizzle the icing over the cake and finish with a scattering of orange zest.']"
"

          Summer pudding        
","[u'300g ', u'250g ', u'100g ', u'500g ', u'OR 1\xbckg/2lb 12oz mixed berries and currants of your choice', u'175g golden caster sugar', u'7 slices day-old white bread, from a square, medium-cut loaf']","[u'Bring out the juices: Wash fruit and gently dry on kitchen paper \u2013 keep strawberries separate. Put sugar and 3 tbsp water into a large pan. Gently heat until sugar dissolves \u2013 stir a few times. Bring to a boil for 1 min, then tip in the fruit (not strawberries). Cook for 3 mins over a low heat, stirring 2-3 times. The fruit will be softened, mostly intact and surrounded by dark red juice. Put a sieve over a bowl and tip in the fruit and juice.', u'Prepare the bread: Line the 1.25-litre basin with cling film as this will help you to turn out the pudding. overlap two pieces in the middle of the bowl as it\u2019s easier than trying to get one sheet to stick to all of the curves. Let the edges overhang by about 15cm. Cut the crusts off the bread. Cut 4 pieces of bread in half, a little on an angle, to give 2 lopsided rectangles per piece. Cut 2 slices into 4 triangles each and leave the final piece whole.', u'Build the pud: Dip the whole piece of bread into the juice for a few secs just to coat. Push this into the bottom of the basin. Now dip the wonky rectangular pieces one at a time and press around the basin\u2019s sides so that they fit together neatly, alternately placing wide and narrow ends up. If you can\u2019t quite fit the last piece of bread in it doesn\u2019t matter, just trim into a triangle, dip in juice and slot in. Now spoon in the softened fruit, adding the strawberries here and there as you go.', u'Let flavours mingle then serve: Dip the bread triangles in juice and place on top \u2013 trim off overhang with scissors. Keep leftover juice for later. Bring cling film up and loosely seal. Put a side plate on top and weight down with cans. Chill for 6 hrs or overnight. To serve, open out cling film then put a serving plate upside-down on top and flip over. serve with leftover juice, any extra berries and cream.']"
"

          Quick spicy radish pickle        
","[u'85g mooli, peeled and julienned or chopped into fine matchsticks', u'2 tsp sagwa shikcho (apple vinegar) or rice vinegar', u'2 tsp golden caster sugar', u'\xbe  tsp gochugaru chilli flakes (see tip)', u'\xbd  small garlic clove, grated']","[u'In a medium bowl, stir together all the ingredients with 1/2 tsp sea salt until the radish is coated. Cover and chill for 1 hr before serving.']"
"

          Lemon & herb lamb lollipops        
","[u'2 x 8-bone rack lamb cutlets, French-trimmed (ask your butcher to do this)', u'2 tbsp plain flour', u'1 ', u'3 tbsp ', u'100g fresh breadcrumb', u'small bunch ', u', finely chopped', u'zest 2 ', u'vegetable oil, for frying']","[u'Slice the lamb cutlets between the bones to give you 16 pieces. Remove any big pieces of fat. Cover the cutlets with cling film and lightly bash the meat with a rolling pin to flatten slightly. Put the cutlets in a bowl and sprinkle with flour and some seasoning, tossing to coat.', u'Whisk the egg and milk in a shallow bowl. Place the breadcrumbs, parsley and lemon zest in another. Heat the oven to 200C/180C fan /gas 6. Heat enough oil in a large frying pan to come 0.5cm up the side.', u'Dip each lamb cutlet into the egg mixture, then into the breadcrumbs, pressing gently to help crumbs stick. Cook each cutlet in the hot oil for 2 mins each side until golden brown \u2013 you will need to do this in batches. Drain on a plate lined with kitchen paper. When all cutlets have been fried, place on a baking tray and cook in the oven for 3 mins more. This will ensure that any parts of the bone that did not touch the pan have been cooked. Leave to cool, then chill if making ahead or pack into containers for your picnic.']"
"

          Cheesy turkey Milanese        
","[u'4 tbsp ', u'1 ', u'3 tbsp ', u'100g fresh or dried breadcrumbs', u'4 ', u' sprigs, leaves picked and chopped', u'4 ', u' steaks, about 500g in total, thinned out with a rolling pin if very thick', u'3 fat garlic cloves, crushed', u'2 x 400g cans chopped tomatoes', u'small bunch ', u', leaves picked', u'125g ball mozzarella, drained and sliced, or a handful of another good melting cheese such as cheddar or Gruy\xe8re', u'350g spaghetti']","[u'Put the flour in a bowl with a little seasoning, beat the egg in another bowl with a splash of water. Tip the breadcrumbs and rosemary into another bowl, drizzle over 1 tbsp oil and rub together with your fingers until the breadcrumbs are a little moist. Dip the turkey steaks into the flour, dust off the excess, then dip in the egg followed by the breadcrumbs, pressing to help them stick. Put on a plate and chill while you prepare the sauce.', u'Heat the remaining oil in a large pan. Add the garlic and sizzle for 30 secs, then add the tomatoes. Season and bubble for 15 mins until the sauce is thick, adding a pinch of sugar if the taste is too sharp. While the sauce cooks, heat oven to 200C/180C fan/ gas 6, put the turkey steaks on a baking tray and bake for 10 mins, then remove from the oven, top with mozzarella slices and return to the oven for another 5 mins, until the turkey is cooked through and the cheese has melted.', u'Meanwhile, cook the spaghetti following pack instructions. Drain, then toss through the tomato sauce. Divide between plates and top with a turkey steak and a generous scattering of basil leaves.']"
"

          Blackberry coulis        
","[u'250g ', u'50g golden caster sugar', u'\xbd tsp vanilla extract']","[u'Put the blackberries and sugar into a small pan with 100ml/31\u20442fl oz water. Bring to the boil, then simmer for 5 mins until the fruit is soft. Stir in the vanilla, remove and cool a little.', u'Tip the contents of the pan into a blender or food processor, and whizz to a pur\xe9e, then strain through a sieve, rubbing it through with the back of a ladle or spoon. Serve warm or chilled. Keeps in an airtight container in the fridge for up to 3 days, or freeze for up to 3 months.']"
"

          Beef fillet with horseradish & prosciutto        
","[u'50g ', u'900g beef fillet, cut from the middle so it is an even thickness', u'400g bag banana shallots, halved and thinly sliced', u'3 tbsp horseradish sauce', u'200ml red wine', u'700ml beef stock', u'1 tbsp cornflour', u'1 tbsp redcurrant jelly', u'10 slices ', u'4 tbsp finely chopped ', u'1 tbsp fresh thyme leaves, plus extra to serve (optional)']","[u'Heat the butter in a large frying pan and fry the beef fillet for 5 mins, turning it to seal and brown it all over. Remove from the pan and leave to cool. Add the shallots to the buttery meat juices and cook, stirring, until softened and golden. Turn off the heat and tip out two-thirds of the shallots into a bowl. Add the horseradish and some black pepper to the bowl, then blitz with a hand blender to make a coarse pur\xe9e.', u'Meanwhile, pour the red wine and stock into the pan with the remaining shallots. Blend the cornflour with 3 tbsp water, add to the pan with the redcurrant jelly, and stir until thickened. Season to taste and allow to bubble for at least 5 mins until it has become a sauce. Cool and chill until ready to serve.', u'Lay 8 slices of prosciutto in 2 overlapping rows. Spread the horseradish mixture on top and scatter evenly with the herbs. Place the fillet on top, cover the ends with the last 2 slices, and tightly wrap the prosciutto around the beef. Chill until ready to cook.', u'Remove the beef from the fridge at least 30 mins before you are ready to cook it. Heat oven to 220C/200C fan/gas 7. Put the meat on a baking-parchment-lined baking tray and roast for 30-40 mins, depending on how well done you like it. (To test how done the beef is, insert a digital thermometer into the centre \u2013 it should read 50C for rare, 55C for medium rare and 60C for medium.) Leave to rest for 10-15 mins, then carefully slice with a very sharp knife and serve with the wine sauce. Scatter with extra thyme, if you like.']"
"

          Sprouts with pork & peanuts        
","[u'1 pork tenderloin (400-450g/14oz-1lb)', u'1 tbsp cornflour', u'5 tbsp light soy sauce', u'2 tbsp Chinese black rice vinegar or balsamic vinegar', u'2 tbsp golden caster sugar', u'1 tbsp Chinese rice wine or dry Sherry', u'vegetable oil, for stir-frying', u'4 tbsp unsalted peanuts', u'400g ', u', trimmed then halved, or quartered if large', u'thumb-sized piece ', u', shredded', u'3 garlic cloves, thinly sliced', u'\xbd  tsp chilli flakes or a few whole small dried chillies', u'1 tsp sesame oil, to serve', u'sticky rice, to serve']","[u'Trim any silvery sinew from the pork, then slice the meat into thin medallions. Mix the cornflour with 2 tbsp of the soy, add the pork and toss to coat. Set aside for 5 mins. Stir together the rest of the soy, the vinegar, sugar, rice wine and 2 tbsp water. Let the sugar dissolve.', u'Heat 1 tsp oil in a wok or frying pan. Fry the peanuts for 1-2 mins, stirring often, until toasted and golden, then set aside in a dish. Add 1 tbsp oil to the pan, and stir-fry the pork for 3-4 mins until golden but not completely cooked through. Set aside.', u'Wipe out the pan if needed, then add another 1 tbsp oil and stir-fry the sprouts over a high heat for 5 mins, adding 1 tbsp water at the end to provide a shot of steam. They should be bright green and just tender, but not soft. If the pan seems dry, add another 1 tsp oil, then tip in the ginger, garlic and chilli. Sizzle for 1 min, then add the sauce, pork and any resting juices. Simmer for a few mins until the sauce thickens and the pork is cooked through. Scatter with the nuts, drizzle over the sesame oil and serve with rice.']"
"

          Roasted sesame sweet potatoes & asparagus        
","[u'750g ', u', peeled and cut into 2cm pieces', u'3 garlic clove, sliced', u'thumb-sized piece ', u', peeled and sliced into matchsticks', u'\xbd  tsp sesame oil', u'1 tsp Thai fish sauce', u'1\xbd  tbsp reduced-salt ', u'1 bunch ', u', ends trimmed, cut in half', u'1 tsp sesame seeds']","[u'Heat oven to 200C/180C fan/gas 6. Put the potatoes in a large roasting tin and toss with the garlic, ginger, sesame oil, fish sauce and 1 tbsp soy sauce. Roast for 20 mins or until golden brown and tender.', u'Add the asparagus, 3 tbsp water and the remaining soy, and roast for 10 mins more. Sprinkle with the sesame seeds, then serve.']"
"

          Lemon & chive mayonnaise        
","[u'3 egg yolk', u'pinch English mustard powder', u'pinch ground white ', u', or use ground black pepper', u'2 tbsp cider vinegar', u'250ml groundnut oil', u'50ml extra-virgin olive oil', u'zest 1 ', u'1 bunch chives, finely chopped']","[u'Mix the egg yolks with the mustard powder, pepper, 1 tbsp cider vinegar and a pinch of salt in a bowl. Mix the oils together in a jug. Use an electric whisk to whisk the yolk mixture, then very slowly, drip-by-drip, add the oil. When the mixture is pale and thicker, and no oil is visible, swap from a drip to a slow, steady stream \u2013 whisking all the while.', u'When all the oil is added and you have a thick mayonnaise, taste and season with more vinegar, salt and pepper. Stir in the lemon zest and chives, then chill until ready to serve.']"
"

          Roast rack of lamb with rosemary        
","[u'4 racks of ', u' (2 pairs of best ends), French trimmed', u'4 garlic clove, roughly chopped', u'a big stalk of ', u', needles stripped off and roughly chopped', u'8 tbsp light ']","[u'Stand the racks of lamb in a china or glass baking dish, scatter the garlic and rosemary over the top, and drizzle with the olive oil. Leave to marinate for at least 4 hours (or overnight if you have the time), turning occasionally.', u'Preheat the oven to fan 200C/ conventional 220C/gas 7. Season the lamb generously with salt and pepper. Heat a large, heavy frying pan over a moderately high heat and brown two of the racks well on the meaty sides for about 1-2 minutes, then turn and brown the other sides for a further 1 minute. Finally, brown the ends briefly so that all of the exposed meat is seared. Remove and repeat with the remaining two racks.', u'Put racks in a large roasting tin, standing them in pairs with their bones interlinked. Roast for about 8 minutes for very pink meat, 10 minutes for medium and 12-15 minutes for well-done.', u'Transfer the lamb to a warmed plate, cover loosely with foil, and allow to rest in a warm place for about 5 minutes before carving (if you have to wait longer than this, you may want to return the lamb to the oven for a minute or so before serving, to bring back up to temperature). Carve into cutlets and serve on warmed plates with a spoonful of the chickpea stew.']"
"

          Veg & cheesy rice bake        
","[u'1 ', u', chopped', u'1 tbsp ', u'2 ', u', sliced', u'1 ', u', diced', u'450g fresh ', u', chopped (or a 400g can chopped tomatoes)', u'200g ', u'2 ', u'140g ', u', grated']","[u'Sweat the onion in the oil for 10 mins, until soft and lightly golden. Add the courgettes and aubergine. Fry until golden brown. Add the tomatoes and some seasoning, then cover and simmer for 30 mins, uncovering for the final 15 mins if using fresh tomatoes. Heat oven to 200C/180C fan/gas 6.', u'Meanwhile, cook the rice in a large pot of salted boiling water for 20 mins, or until tender. Drain and mix with the eggs and two-thirds of the cheese.', u'Put the courgette and tomato mix in an ovenproof dish. Spoon the rice mixture over and smooth it out. Sprinkle over the rest of the cheese. Bake for 30 mins until bubbling and golden.']"
"

          Bulghar wheat & rocket tabbouleh        
","[u'100g bulghar wheat', u'juice 1 ', u'\xbd  tsp ', u'\xbd  tsp allspice', u'pinch of ground cloves', u'1 tbsp ', u'70g bag ', u'small pack flat-leaf parsley, chopped', u'2 ', u', sliced', u'110g pack pomegranate seeds (or seeds from 1 pomegranate)']","[u'Rinse the bulghar wheat in a sieve under cold running water, then tip it into a large saucepan and cover with cold water. Bring to the boil, then simmer for 10-12 mins or until tender. Drain and tip into a large bowl.', u'Pour the lemon juice into a jug. Add the spices, then whisk continuously as you add the olive oil. Season well, then pour over the bulghar.', u'Fold through the rocket, parsley and spring onions, scatter over the pomegranate seeds and serve.']"
"

          Cod & spinach yellow curry        
","[u'1 tsp ', u'1 tsp turmeric', u'1 tsp smoked paprika', u'250g ', u' fillet, cut into bite-sized chunks', u'2 tbsp groundnut oil (or any flavourless oil)', u'1 ', u', finely sliced', u'2 garlic cloves, finely sliced', u'thumb-sized piece ', u', grated', u'400g can coconut milk', u'100g fresh ', u'cooked basmati rice and naan bread, to serve (optional)']","[u'In a small bowl, combine the spices. Coat the fish with half the spice mixture and some seasoning. Set aside.', u'In a medium lidded frying pan, heat the oil over a medium heat. Add the onion, garlic and ginger, and fry for 8 mins until softened. Add the remaining spice mix and gently cook for 1 min to release the flavour of the spices.', u'Pour in the coconut milk, bring to the boil and simmer for 3-5 mins to reduce slightly, then add the cod and spinach. Pop the lid on and continue to cook for 5 mins or so until the spinach has wilted and the cod is cooked through. Season to taste and serve with basmati rice and naan bread, if you like.']"
